apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +435, (Half Day),(ግማሽ ቀን)
DocType: Asset,Asset Name,የንብረት ስም
DocType: Sales Order Item,Supplier delivers to Customer,አቅራቢው የደንበኛ ወደ ያድነዋል
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py +82,Party is mandatory,ፓርቲ የግዴታ ነው
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +359,{0} against Bill {1} dated {2},{0} ቢል ላይ {1} የተዘጋጀው {2}
DocType: Asset,Partially Depreciated,በከፊል የቀነሰበት
DocType: Account,Purchase User,የግዢ ተጠቃሚ
DocType: Journal Entry Account,Journal Entry Account,ጆርናል Entry መለያ
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py +145,No records found in the Payment table,በክፍያ ሠንጠረዥ ውስጥ አልተገኘም ምንም መዝገቦች
DocType: Student,Joining Date,በመቀላቀል ቀን
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +844,Add items from,ከ ንጥሎችን ያክሉ
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py +166,Row {0}: Allocated amount {1} must be less than or equals to invoice outstanding amount {2},ረድፍ {0}: የተመደበ መጠን {1} ከ ያነሰ መሆን ወይም የላቀ መጠን ደረሰኝ ጋር እኩል መሆን አለበት {2}
DocType: Landed Cost Voucher,Purchase Receipt Items,የግዢ ደረሰኝ ንጥሎች
,Requested Items To Be Ordered,ተጠይቋል ንጥሎች ሊደረደር ወደ
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py +18,'From Date' must be after 'To Date',&#39;ቀን ጀምሮ&#39; በኋላ &#39;እስከ ቀን&#39; መሆን አለበት
DocType: Purchase Invoice,Terms and Conditions1,ውል እና Conditions1
DocType: Vehicle,Fuel UOM,የነዳጅ UOM
apps/erpnext/erpnext/schools/doctype/student_admission/student_admission.py +29,Student Admissions,የተማሪ ምዝገባ
apps/erpnext/erpnext/public/js/setup_wizard.js +62,Financial Year End Date,የፋይናንስ ዓመት መጨረሻ ቀን
DocType: Quality Inspection Reading,Reading 1,1 ማንበብ
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js +105,Move Item,አንቀሳቅስ ንጥል
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py +265,Packing Slip(s) cancelled,ተሰርዟል ማሸጊያ የማያፈስ (ዎች)
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +43,Exchange Rate must be same as {0} {1} ({2}),የውጭ ምንዛሪ ተመን ጋር ተመሳሳይ መሆን አለበት {0} {1} ({2})
DocType: Products Settings,Products Settings,ምርቶች ቅንብሮች
DocType: Employee,The first Leave Approver in the list will be set as the default Leave Approver,በዝርዝሩ ውስጥ የመጀመሪያው ፈቃድ አጽዳቂ ነባሪ ፈቃድ አጽዳቂ ተዘጋጅቷል ይሆናል
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js +57,'To Case No.' cannot be less than 'From Case No.',&#39;ወደ የጉዳይ ቁጥር&#39; &#39;የጉዳይ ቁጥር ከ&#39; ያነሰ መሆን አይችልም
DocType: Student Guardian,Mother,እናት
apps/erpnext/erpnext/config/hr.py +35,Recruitment,ምልመላ
DocType: Item Group,Parent Item Group,የወላጅ ንጥል ቡድን
DocType: Accounts Settings,Make Accounting Entry For Every Stock Movement,እያንዳንዱ የአክሲዮን ንቅናቄ ለ በአካውንቲንግ የሚመዘገብ አድርግ
DocType: Purchase Invoice Item,Price List Rate (Company Currency),ዋጋ ዝርዝር ተመን (የኩባንያ የምንዛሬ)
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js +20,Item 3,ንጥል 3
apps/erpnext/erpnext/stock/stock_ledger.py +354,{0} units of {1} needed in {2} on {3} {4} for {5} to complete this transaction.,{0} {1} ውስጥ አስፈላጊ {2} ላይ {3} {4} {5} ይህን ግብይት ለማጠናቀቅ ለ አሃዶች.
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py +137,Email sent to supplier {0},አቅራቢ ተልኳል ኢሜይል ወደ {0}
DocType: Asset Category Account,Depreciation Expense Account,የእርጅና የወጪ መለያ
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html +59,'Total',&#39;ጠቅላላ&#39;
DocType: Lead,CRM,ሲ
apps/erpnext/erpnext/stock/report/stock_ageing/stock_ageing.py +41,Latest,የቅርብ ጊዜ
DocType: Item,Show a slideshow at the top of the page,በገጹ ላይኛው ክፍል ላይ አንድ ስላይድ ትዕይንት አሳይ
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person.py +35,Another Sales Person {0} exists with the same Employee id,ሌላው የሽያጭ ሰው {0} ተመሳሳይ የሰራተኛ መታወቂያ ጋር አለ
apps/erpnext/erpnext/controllers/accounts_controller.py +564,Row #{0}: Purchase Invoice cannot be made against an existing asset {1},የረድፍ # {0}: የግዢ ደረሰኝ አንድ ነባር ንብረት ላይ ማድረግ አይቻልም {1}
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py +206,Invalid {0},ልክ ያልሆነ {0}
DocType: Purchase Invoice,Additional Discount Percentage,ተጨማሪ የቅናሽ መቶኛ
DocType: Products Settings,"If checked, the Home page will be the default Item Group for the website","ከተመረጠ, መነሻ ገጽ ድር ነባሪ ንጥል ቡድን ይሆናል"
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +785,Item or Warehouse for row {0} does not match Material Request,ረድፍ {0} አይዛመድም ሐሳብ ጥያቄ ለ ንጥል ወይም መጋዘን
apps/erpnext/erpnext/hr/doctype/employee_attendance_tool/employee_attendance_tool.js +131,Check all,ሁሉንም ይመልከቱ
DocType: Account,Payable,ትርፍ የሚያስገኝ
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py +402,Productions Orders cannot be raised for:,ፕሮዳክሽን ትዕዛዞች ስለ ማጽደቅም የተነሣውን አይችልም:
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +261,Stock cannot be updated against Purchase Receipt {0},የአክሲዮን ግዢ ደረሰኝ ላይ መዘመን አይችልም {0}
DocType: Production Order,Scrap Warehouse,ቁራጭ መጋዘን
DocType: Leave Allocation,Total Leaves Allocated,ጠቅላላ ቅጠሎች የተመደበ
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py +36,Net Profit / Loss,የተጣራ ትርፍ / ማጣት
DocType: Payment Reconciliation Invoice,Outstanding Amount,ያልተከፈሉ መጠን
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +615,Supplier Invoice Date cannot be greater than Posting Date,አቅራቢው ደረሰኝ ቀን መለጠፍ ቀን በላይ ሊሆን አይችልም
DocType: Stock Entry,Purchase Receipt No,የግዢ ደረሰኝ የለም
DocType: Shipping Rule,Valid for Countries,አገሮች የሚሰራ
DocType: Appraisal,Total Score (Out of 5),(5 ውጪ) አጠቃላይ ነጥብ
DocType: HR Settings,"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","ከተመረጠ, ጠቅላላ የለም. የስራ ቀናት በዓላት ያካትታል; ይህም ደመወዝ በእያንዳንዱ ቀን ዋጋ እንዲቀንስ ያደርጋል"
apps/erpnext/erpnext/controllers/item_variant.py +25,Please specify at least one attribute in the Attributes table,በ አይነታዎች ሰንጠረዥ ውስጥ ቢያንስ አንድ መገለጫ ባህሪ ይግለጹ
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js +146,Quantity must be less than or equal to {0},ብዛት ይልቅ ያነሰ ወይም እኩል መሆን አለበት {0}
apps/erpnext/erpnext/controllers/item_variant.py +66,Value {0} for Attribute {1} does not exist in the list of valid Item Attribute Values for Item {2},እሴት {0} አይነታ {1} ንጥል ለ እሴቶች የአይነት ልክ ንጥል ዝርዝር ውስጥ የለም {2}
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +288,You cannot credit and debit same account at the same time,አንተ ክሬዲት እና በተመሳሳይ ጊዜ ተመሳሳይ መለያ ዘዴዎ አይችልም
DocType: Leave Type,Is Encash,Encash ነው
DocType: Journal Entry Account,Expense Claim,የወጪ የይገባኛል ጥያቄ
DocType: Tax Rule,Shipping City,የመርከብ ከተማ
DocType: Payment Entry,Internal Transfer,ውስጣዊ ማስተላለፍ
apps/erpnext/erpnext/config/setup.py +116,Human Resources,የሰው ሀይል አስተዳደር
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +70,Open Projects,ክፍት ፕሮጀክቶች
DocType: Announcement,Receiver,ተቀባይ
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +166,Opening Balance Equity,በመክፈት ላይ ቀሪ ፍትህ
apps/erpnext/erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.py +12,To {0},ወደ {0}
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py +28,Cannot convert Cost Center to ledger as it has child nodes,ይህ ልጅ መገናኛ ነጥቦች አሉት እንደ የመቁጠር ወደ ወጪ ማዕከል መለወጥ አይቻልም
DocType: Shopping Cart Settings,Enable Checkout,ተመዝግቦ አንቃ
DocType: Payment Entry,Write Off Difference Amount,ለችግሮችህ መጠን ጠፍቷል ይጻፉ
DocType: Leave Block List,Leave Block List Dates,አግድ ዝርዝር ቀኖች ውጣ
apps/erpnext/erpnext/config/support.py +32,Single unit of an Item.,አንድ ንጥል ላይ ነጠላ አሃድ.
,SO Qty,ምት ብዛት
DocType: Production Order Operation,Operation Description,ክወና መግለጫ
apps/erpnext/erpnext/hr/doctype/employee/employee.py +126,Please enter relieving date.,ቀን ማስታገሻ ያስገቡ.
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +16,Chemical,ኬሚካል
apps/erpnext/erpnext/controllers/recurring_document.py +227,Next Recurring {0} will be created on {1},ቀጣይ ተደጋጋሚ {0} ላይ ይፈጠራል {1}
apps/erpnext/erpnext/projects/doctype/project/project.py +166,You have been invited to collaborate on the project: {0},እርስዎ ፕሮጀክት ላይ ተባበር ተጋብዘዋል: {0}
apps/erpnext/erpnext/accounts/print_format/payment_receipt_voucher/payment_receipt_voucher.html +4,Payment Receipt Note,የክፍያ ደረሰኝ ማስታወሻ
DocType: Payment Reconciliation Payment,Payment Reconciliation Payment,የክፍያ ማስታረቅ ክፍያ
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py +50,Stock balance in Batch {0} will become negative {1} for Item {2} at Warehouse {3},ባች ውስጥ የአክሲዮን ቀሪ {0} ይሆናል አሉታዊ {1} መጋዘን ላይ ንጥል {2} ለ {3}
apps/erpnext/erpnext/schools/doctype/student_attendance/student_attendance.py +22,Student Batch or Course Schedule is mandatory,የተማሪ ባች ወይም የትምህርት ፕሮግራም የግዴታ ነው
DocType: Sales Invoice,Sales Team1,የሽያጭ Team1
apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py +75,Sales Person,የሽያጭ ሰው
DocType: Shopping Cart Settings,Shopping Cart Settings,ወደ ግዢ ሳጥን ጨመር ቅንብሮች
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py +54,Material Request of maximum {0} can be made for Item {1} against Sales Order {2},ከፍተኛው {0} ቁሳዊ ጥያቄ {1} የሽያጭ ትዕዛዝ ላይ ንጥል የተሰራ ሊሆን ይችላል {2}
DocType: Journal Entry Account,Credit in Company Currency,ኩባንያ የምንዛሬ ውስጥ የብድር
DocType: Purchase Invoice,Return Against Purchase Invoice,ላይ የግዢ ደረሰኝ ይመለሱ
DocType: Item Quality Inspection Parameter,Item Quality Inspection Parameter,ንጥል ጥራት ምርመራ መለኪያ
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py +201,Duplicate Serial No entered for Item {0},ተከታታይ ምንም ንጥል ገባ አባዛ {0}
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +201,Row {0}: Invalid reference {1},ረድፍ {0}: ልክ ያልሆነ ማጣቀሻ {1}
DocType: Item,Inspection Criteria,የምርመራ መስፈርት
DocType: Maintenance Schedule,Schedule,ፕሮግራም
apps/erpnext/erpnext/setup/utils.py +15,Please specify Default Currency in Company Master and Global Defaults,ኩባንያ መምህር እና ዓለም አቀፍ ነባሪዎች ውስጥ ነባሪ መገበያያ ገንዘብ ይግለጹ
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +850,Paid Amount cannot be greater than total negative outstanding amount {0},የሚከፈልበት መጠን ጠቅላላ አሉታዊ የላቀ መጠን መብለጥ አይችልም {0}
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_tree.js +5,New Sales Person Name,አዲስ የሽያጭ ሰው ስም
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py +77,Account head {0} created,የመለያ ራስ {0} ተፈጥሯል
DocType: BOM,Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,ንጥል መጠን በጥሬ ዕቃዎች የተሰጠው መጠን ከ እየቀናነሱ / ማኑፋክቸሪንግ በኋላ አገኘሁ
apps/erpnext/erpnext/public/js/setup_wizard.js +299,Meter,መቁጠሪያ
DocType: Job Opening,Job Title,የስራ መደቡ መጠሪያ
DocType: Purchase Receipt,Get Current Stock,የአሁኑ የአክሲዮን ያግኙ
apps/erpnext/erpnext/stock/doctype/item/item.js +232,"Weight is mentioned,\nPlease mention ""Weight UOM"" too","የክብደት \ n ደግሞ &quot;የክብደት UOM&quot; አውሳ, ተጠቅሷል"
DocType: Product Bundle,"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials","ሌላ ** ንጥል ወደ ** ንጥሎች ** መካከል ድምር ቡድን **. ** አንድ የተወሰነ ** ንጥሎች ማያያዝን ከሆነ ይህ ጥቅል ወደ ** ጠቃሚ ነው እና ወደ የታሸጉ ** ንጥሎች መካከል የአክሲዮን ** እንጂ ድምር ** ንጥል ጠብቀን. ፓኬጁ ** ንጥል ** ይኖራቸዋል &quot;አይ&quot; እና &quot;አዎ&quot; እንደ &quot;የሽያጭ ንጥል ነው&quot; እንደ &quot;የአክሲዮን ንጥል ነው&quot;. ለምሳሌ ያህል: ደንበኛው ሁለቱም የሚገዛ ከሆነ በተናጠል ላፕቶፖች እና ቦርሳዎች በመሸጥ እና ከሆነ ለየት ያለ ዋጋ አለን, ከዚያ ላፕቶፕ + ቦርሳ አዲስ ምርት ጥቅል ንጥል ይሆናል. ማስታወሻ: ዕቃዎች መካከል BOM = ቢል"
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +21,As on Date,ቀን ላይ እንደ
apps/erpnext/erpnext/accounts/party.py +171,Please select a Company,አንድ ኩባንያ እባክዎ ይምረጡ
DocType: Salary Slip,Net Pay (in words) will be visible once you save the Salary Slip.,የ የቀጣሪ ለማዳን አንዴ (ቃላት) የተጣራ ክፍያ የሚታይ ይሆናል.
DocType: Project,Total Billing Amount (via Time Logs),ጠቅላላ የሂሳብ አከፋፈል መጠን (ጊዜ ምዝግብ ማስታወሻዎች በኩል)
DocType: Timesheet,% Amount Billed,% መጠን የሚከፈል
apps/erpnext/erpnext/controllers/accounts_controller.py +568,'Update Stock' cannot be checked for fixed asset sale,&#39;አዘምን Stock&#39; ቋሚ ንብረት ለሽያጭ ሊረጋገጥ አልቻለም
DocType: Sales Order,Not Applicable,ተፈፃሚ የማይሆን
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py +59,{0} already allocated for Employee {1} for period {2} to {3},{0} አስቀድሞ የሰራተኛ የተመደበው {1} ወደ ጊዜ {2} ለ {3}
DocType: Email Digest,Pending Purchase Orders,የግዢ ትዕዛዞች በመጠባበቅ ላይ
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +73,Dispatch,የደንበኞች አገልግሎት
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py +35,Opening Qty,ብዛት በመክፈት ላይ
DocType: Purchase Invoice Item,Qty,ብዛት
apps/erpnext/erpnext/controllers/recurring_document.py +210,"{0} is an invalid email address in 'Notification \
						Email Address'",{0} »ማሳወቂያ \ የኢሜይል አድራሻ» ውስጥ ያለ ልክ ያልሆነ የኢሜይል አድራሻ ነው
DocType: Purchase Order Item Supplied,BOM Detail No,BOM ዝርዝር የለም
DocType: Naming Series,Select Transaction,ይምረጡ የግብይት
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.js +21,Attendance From Date and Attendance To Date is mandatory,ቀን ወደ ቀን እና የትምህርት ክትትል ጀምሮ በስብሰባው የግዴታ ነው
DocType: Customer,Individual,የግለሰብ
apps/erpnext/erpnext/setup/page/welcome_to_erpnext/welcome_to_erpnext.html +6,"To get the best out of ERPNext, we recommend that you take some time and watch these help videos.","ERPNext ውጭ የተሻለ ለማግኘት, እኛ የተወሰነ ጊዜ ሊወስድ እና እነዚህ እርዳታ ቪዲዮዎችን ለመመልከት እንመክራለን."
DocType: Global Defaults,Global Defaults,ዓለም አቀፍ ነባሪዎች
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +36,Motion Picture & Video,የተንቀሳቃሽ ምስል እና ቪዲዮ
DocType: Products Settings,Home Page is Products,መነሻ ገጽ ምርቶች ነው
apps/erpnext/erpnext/public/js/setup_wizard.js +284,"List your products or services that you buy or sell. Make sure to check the Item Group, Unit of Measure and other properties when you start.","እርስዎ ሊገዛ ወይም ሊሸጥ የእርስዎን ምርቶች ወይም አገልግሎቶች ዘርዝር. ከመጀመርዎ ጊዜ ይለኩ እና ሌሎች ንብረቶች ላይ ንጥል ቡድን, ክፍል ለመመልከት እርግጠኛ ይሁኑ."
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py +49,To Date should be within the Fiscal Year. Assuming To Date = {0},ቀን ወደ የበጀት ዓመት ውስጥ መሆን አለበት. = ቀን ወደ ከወሰድን {0}
DocType: Company,Stock Adjustment Account,የአክሲዮን የማስተካከያ መለያ
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +131,At least one mode of payment is required for POS invoice.,የክፍያ ቢያንስ አንድ ሁነታ POS መጠየቂያ ያስፈልጋል.
DocType: Shipping Rule Country,Shipping Rule Country,መላኪያ ደንብ አገር
DocType: Quality Inspection,Get Specification Details,መስፈርቶች ዝርዝሮችን አግኝ
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,ኃላፊዎች (ወይም ቡድኖች) ይህም ላይ አካውንቲንግ ግቤቶችን ናቸው እና ሚዛን ጠብቆ ነው.
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py +139,Purchase Invoice {0} is already submitted,የደረሰኝ {0} አስቀድሞ ገብቷል ነው ይግዙ
apps/erpnext/erpnext/accounts/doctype/account/account.js +26,This is a root account and cannot be edited.,ይህ ሥር መለያ ነው እና አርትዕ ሊደረግ አይችልም.
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py +295,Serial No {0} created,{0} የተፈጠረ ተከታታይ የለም
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +37,Ageing Range 1,ጥበቃና ክልል 1
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html +2,Total hours: {0},ጠቅላላ ሰዓት: {0}
DocType: Course Schedule,Instructor Name,አስተማሪ ስም
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py +144,Both Warehouse must belong to same Company,ሁለቱም መጋዘን ተመሳሳይ ኩባንያ አባል መሆን
apps/erpnext/erpnext/utilities/doctype/address_template/address_template.py +30,Default Address Template cannot be deleted,ነባሪ አድራሻ መለጠፊያ ሊሰረዝ አይችልም
DocType: Supplier Quotation,Stopped,አቁሟል
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +58,Series Updated,ተከታታይ የዘመነ
DocType: Lead,Person Name,ሰው ስም
DocType: Grade Interval,Grade Interval,ኛ ክፍል ክፍተት
DocType: Maintenance Schedule Item,Maintenance Schedule Item,ጥገና ፕሮግራም ንጥል
DocType: Pricing Rule,Pricing Rule Help,የዋጋ አሰጣጥ ደንብ እገዛ
DocType: Territory,For reference,ለማጣቀሻ
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +383,Operation Time must be greater than 0 for Operation {0},ኦፕሬሽን ጊዜ ክወና ለ ከ 0 በላይ መሆን አለበት {0}
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py +68,Item {0} not found,ንጥል {0} አልተገኘም
DocType: Purchase Receipt,Vehicle Date,የተሽከርካሪ ቀን
DocType: Company,Asset Depreciation Cost Center,የንብረት ዋጋ መቀነስ ወጪ ማዕከል
DocType: Purchase Taxes and Charges,Account Head,መለያ ኃላፊ
apps/erpnext/erpnext/public/js/setup_wizard.js +45,Company Abbreviation,ኩባንያ ምህፃረ ቃል
DocType: Production Planning Tool,Download Materials Required,ቁሳቁሶች ያስፈልጋል አውርድ
DocType: Account,"If the account is frozen, entries are allowed to restricted users.","መለያ የታሰሩ ከሆነ, ግቤቶች የተገደቡ ተጠቃሚዎች ይፈቀዳል."
DocType: Packing Slip Item,DN Detail,DN ዝርዝር
DocType: SMS Center,All Customer Contact,ሁሉም የደንበኛ ያግኙን
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +107,{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: የወጪ ማዕከል {2} ኩባንያ የእርሱ ወገን አይደለም {3}
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +156,You are not authorized to add or update entries before {0},ከእናንተ በፊት ግቤቶችን ማከል ወይም ዝማኔ ስልጣን አይደለም {0}
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +495,BOM {0} must be submitted,BOM {0} መቅረብ አለበት
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +113,Hardware,ሃርድዌር
DocType: Stock Entry Detail,Basic Rate (as per Stock UOM),መሠረታዊ ተመን (ከወሰደው UOM መሰረት)
DocType: Mode of Payment,Mode of Payment,የክፍያ ሁነታ
DocType: Delivery Note,Instructions,መመሪያዎች
apps/erpnext/erpnext/setup/doctype/company/company.js +60,Successfully deleted all transactions related to this company!,በተሳካ ሁኔታ ከዚህ ድርጅት ጋር የተያያዙ ሁሉም ግብይቶች ተሰርዟል!
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +159,Extra Large,በጣም ትልቅ
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +30,Earnest Money,ልባዊ ገንዘብ
DocType: Purchase Order Item,UOM Conversion Factor,UOM ልወጣ መንስኤ
DocType: SG Creation Tool Course,SG Creation Tool Course,ሹጋ የፈጠራ መሣሪያ ኮርስ
apps/erpnext/erpnext/schools/doctype/student_applicant/student_applicant.py +29,Cannot change status as student {0} is linked with student application {1},ተማሪ ሁኔታ መለወጥ አይቻልም {0} የተማሪ ማመልከቻ ጋር የተያያዘ ነው {1}
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +63,Intern,እሥረኛ
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.py +196,Please set default account in Salary Component {0},ደመወዝ ክፍለ አካል ውስጥ ነባሪ መለያ ማዘጋጀት እባክዎ {0}
DocType: Employee,Relieving Date,ማስታገሻ ቀን
DocType: Manufacturer,Manufacturers used in Items,ንጥሎች ውስጥ ጥቅም ላይ አምራቾች
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +775,Please set default Cash or Bank account in Mode of Payment {0},የክፍያ ሁነታ ላይ ነባሪ በጥሬ ገንዘብ ወይም በባንክ መለያ ማዘጋጀት እባክዎ {0}
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +192,Serial No {0} is under warranty upto {1},ተከታታይ አይ {0} እስከሁለት ዋስትና ስር ነው {1}
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +752,Material to Supplier,አቅራቢው ቁሳዊ
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.js +242,Qty for {0},ለ ብዛት {0}
apps/erpnext/erpnext/setup/doctype/currency_exchange/currency_exchange.py +23,From Currency and To Currency cannot be same,ገንዘብና ጀምሮ እና ምንዛሬ ወደ አንድ ዓይነት ሊሆኑ አይችሉም
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py +42,Total Outgoing,ጠቅላላ ወጪ
apps/erpnext/erpnext/stock/doctype/item/item_list.js +8,Shortage,እጦት
apps/erpnext/erpnext/setup/doctype/sms_settings/sms_settings.py +25,Please enter valid mobile nos,የሚሰራ የተንቀሳቃሽ ስልክ ቁጥሮች ያስገቡ
apps/erpnext/erpnext/schools/doctype/discussion/discussion.py +33,Discussions,ውይይት
DocType: Company,Default Receivable Account,ነባሪ የሚሰበሰብ መለያ
DocType: Notification Control,"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.","በተደረገባቸው ግብይቶች ማንኛውም &quot;ገብቷል&quot; ጊዜ, የኢሜይል ብቅ-ባይ በራስ-ሰር አባሪ እንደ ግብይት ጋር, በግብይቱ ውስጥ ተያይዞ &quot;እውቅያ&quot; ኢሜይል ለመላክ ይከፈታል. ተጠቃሚው ይችላል ወይም ኢሜይል መላክ ይችላል."
,Profitability Analysis,ትርፋማ ትንታኔ
apps/erpnext/erpnext/schools/doctype/course_schedule/course_schedule.py +39,From Time cannot be greater than To Time.,ከጊዜ ወደ ጊዜ በላይ ሊሆን አይችልም.
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py +39,"Can not filter based on Voucher No, if grouped by Voucher","ቫውቸር ምንም ላይ የተመሠረተ ማጣሪያ አይችሉም, ቫውቸር በ ተመድበው ከሆነ"
apps/erpnext/erpnext/public/js/stock_analytics.js +58,Select Brand...,ይምረጡ የምርት ...
DocType: Quality Inspection Reading,Reading 7,7 ማንበብ
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.js +111,Fill the form and save it,ቅጹን መሙላት እና ማስቀመጥ
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +84,Warning: Same item has been entered multiple times.,ማስጠንቀቂያ: ብዙ ጊዜ ተመሳሳይ ንጥል ገብቶ ነበር.
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.js +48,Make Salary Slip,የቀጣሪ አድርግ
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js +571,cannot be greater than 100,የበለጠ ከ 100 በላይ ሊሆን አይችልም
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py +82,Total leaves allocated is mandatory,የተመደበ ጠቅላላ ቅጠሎች የግዴታ ነው
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +68,Marketing,ማርኬቲንግ
DocType: Training Event,Theory,ፍልስፍና
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py +67,Number of Order,ትዕዛዝ ቁጥር
DocType: Manufacturing Settings,Time Between Operations (in mins),(ደቂቃዎች ውስጥ) ክወናዎች መካከል ሰዓት
DocType: Academic Year,Academic Year Name,ትምህርታዊ ዓመት ስም
DocType: Purchase Invoice Item,Item Tax Amount,ንጥል የግብር መጠን
DocType: Sales Invoice Item,Sales Invoice Item,የሽያጭ ደረሰኝ ንጥል
